"Name","Concatenate(Platform)","Min*(Year)","First(Genre)","First(Publisher)","Sum(NA_Sales)","Sum(EU_Sales)","Sum(JP_Sales)","Sum(Other_Sales)","Sum(Global_Sales)","YearCount"
"Cooking Mama","NDS",2006,"Simulation","505 Games",3.13,1.94,0.07,0.58,5.72,15
"Cooking Mama 2: Dinner With Friends","NDS",2007,"Simulation","505 Games",1.61,1.5,0.1,0.39,3.61,14
"Cooking Mama 3: Shop & Chop","NDS",2009,"Simulation","505 Games",0.83,0.66,0.08,0.18,1.75,12
"Cooking Mama 4: Kitchen Magic!","3DS",2011,"Simulation","505 Games",0.5,0.07,0,0.04,0.61,10
"Cooking Mama 5: Bon Appetit!","3DS",2013,"Simulation","Office Create",0,0,0.03,0,0.03,8
"Cooking Mama: Cook Off","Wii1",2007,"Simulation","505 Games",1.43,1.13,0.05,0.3,2.91,14
"Cooking Mama: My Sweets Shop","3DS",2014,"Simulation","Office Create",0,0,0.03,0,0.03,7
"Cooking Mama: World Kitchen","Wii1",2008,"Simulation","505 Games",0.51,0.28,0.01,0.08,0.88,13
"Cool Boarders","PSX",1996,"Sports","Sony Computer Entertainment",0.1,0.07,0.24,0.03,0.43,25
"Cool Boarders 2","PSX",1997,"Sports","UEP Systems",1.52,0.46,0.2,0.08,2.25,24
"Cool Boarders 2001","PSX, PS2",2000,"Sports","Sony Computer Entertainment",0.39,0.29000000000000004,0,0.07,0.74,21
"Cool Boarders 3","PSX",1998,"Sports","989 Studios",1.65,0.46,0.1,0.1,2.31,23
"Cool Boarders 4","PSX",1998,"Sports","989 Studios",0.65,0.44,0,0.08,1.17,23
"Coraline","PS2, Wii1, NDS",2009,"Action","D3Publisher",0.15,0.04,0,0.01,0.21,12
"Coronation Street: The Mystery of the Missing Hotpot Recipe","PC",2011,"Adventure","Avanquest",0,0.01,0,0,0.01,10
"Corpse Party: Blood Covered - Repeated Fear","PSP, 3DS",2010,"Adventure","5pb",0,0,0.09,0,0.09,11
"Corpse Party: Blood Drive","PSV",2014,"Adventure","Marvelous Interactive",0.11,0.03,0.06,0.05,0.24,7
"Corpse Party: Book of Shadows","PSP",2011,"Adventure","5pb",0,0,0.04,0,0.04,10
"Corvette","PS2, GBA, XB",2003,"Racing","TDK Mediactive",1.03,0.6300000000000001,0,0.19000000000000003,1.85,18
"Corvette Evolution GT","NDS",2008,"Racing","Black Bean Games",0.1,0,0,0.01,0.1,13
"Cory in the House","NDS",2007,"Action","Disney Interactive Studios",0.11,0,0,0.01,0.12,14
"Cosmetic Paradise: Make no Kiseki","NDS",2008,"Misc","Global A Entertainment",0,0,0.01,0,0.01,13
"Cosmic Ark","2600",1981,"Shooter","Imagic",0.99,0.05,0,0.01,1.05,40
"Cosmic Family","Wii1",2007,"Misc","Ubisoft",0.07,0,0,0.01,0.08,14
"Cosmos Chaos!","NDS",2010,"Misc","Mentor Interactive",0.06,0,0,0,0.07,11
"Cossacks: European Wars","PC",2001,"Strategy","Strategy First",0,0.02,0,0,0.03,20
"Countdown Vampires","PSX",1999,"Adventure","Namco Bandai Games",0.02,0.01,0,0,0.04,22
"Countdown: The Game","NDS, Wii1",2009,"Puzzle","Mindscape",0,0.19,0,0.01,0.2,12
"Counter Force","Wii1",2007,"Shooter","505 Games",0.04,0,0,0,0.05,14
"Counter-Strike","XB",2003,"Shooter","Microsoft Game Studios",0.85,0.23,0,0.04,1.11,18
"Counter-Strike: Source","PC",2004,"Shooter","Vivendi Games",0,0.07,0,0.02,0.09,17
"Country Dance","Wii1",2011,"Misc","Funbox Media",0.59,0.04,0,0.04,0.68,10
"Country Dance 2","Wii1",2011,"Misc","GameMill Entertainment",0.44,0,0,0.03,0.46,10
"Country Dance: All Stars","X360",2012,"Action","GameMill Entertainment",0.16,0,0,0.01,0.17,9
"Courier Crisis","PSX",1997,"Racing","BMG Interactive Entertainment",0.09,0.06,0,0.01,0.15,24
"Coven and Labyrinth of Refrain","PSV",2016,"Action","Nippon Ichi Software",0,0,0.01,0,0.01,5
"Covert Ops: Nuclear Dawn","PSX",2000,"Action","Sony Computer Entertainment",0.13,0.09,0,0.02,0.24,21
"Crackdown","X360",2007,"Shooter","Microsoft Game Studios",1,0.54,0.03,0.18,1.75,14
"Crackdown 2","X360",2010,"Shooter","Microsoft Game Studios",0.63,0.37,0.02,0.1,1.12,11
"Cradle of Rome","NDS",2008,"Puzzle","Rising Star Games",0.06,0.16,0,0.03,0.25,13
"Crafting Mama","NDS",2010,"Simulation","505 Games",0.4,0.21,0.01,0.05,0.67,11
"Cranium Kabookii","Wii1",2007,"Misc","Ubisoft",0.13,0,0,0.01,0.14,14
"Crash & Spyro Superpack","GBA",2005,"Platform","Vivendi Games",0.13,0.05,0,0,0.19,16
"Crash 'N' Burn","PS2, XB",2004,"Racing","Eidos Interactive",0.18,0.1,0,0.03,0.3,17
"Crash Bandicoot","PSX",1996,"Platform","Sony Computer Entertainment",3.23,2.35,0.94,0.3,6.82,25
"Crash Bandicoot 2: Cortex Strikes Back","PSX",1997,"Platform","Sony Computer Entertainment",3.78,2.17,1.31,0.31,7.58,24
"Crash Bandicoot 2: N-Tranced","GBA",2003,"Platform","Vivendi Games",0.63,0.66,0,0.07,1.36,18
"Crash Bandicoot 3: Warped","PSX",1998,"Platform","Sony Computer Entertainment",3.68,1.75,1.42,0.28,7.13,23
"Crash Bandicoot Purple: Ripto's Rampage","GBA",2004,"Platform","Vivendi Games",0.46,0.17,0,0.01,0.64,17
"Crash Bandicoot: The Huge Adventure","GBA",2002,"Platform","Universal Interactive",0.95,0.7,0,0.08,1.73,19
"Crash Bandicoot: The Wrath of Cortex","PS2, XB, GC",2001,"Platform","Universal Interactive",3.1199999999999997,2.98,0.24,0.9099999999999999,7.24,20
"Crash Bash","PSX",2000,"Misc","Sony Computer Entertainment",1.56,1.47,0.19,0.17,3.39,21
"Crash Boom Bang!","NDS",2006,"Misc","Vivendi Games",0.07,0.01,0,0.01,0.09,15
"Crash City Mayhem","GBA",2004,"Racing","THQ",0.67,0.25,0,0.02,0.93,17
"Crash Nitro Kart","PS2, GBA, XB, GC",2003,"Racing","Vivendi Games",1.51,1.25,0,0.23000000000000004,2.9800000000000004,18
"Crash Superpack: Crash Bandicoot 2: N-Tranced / Crash Nitro Kart","GBA",2005,"Misc","Vivendi Games",0.09,0.03,0,0,0.12,16
"Crash Tag Team Racing","PS2, PSP, GC, XB",2005,"Racing","Vivendi Games",0.64,0.33000000000000007,0,0.11000000000000001,1.09,16
"Crash Team Racing","PSX",1999,"Racing","Sony Computer Entertainment",2.57,1.57,0.44,0.21,4.79,22
"Crash Time: Autobahn Pusuit","X360",2008,"Racing","RTL",0.03,0,0,0,0.03,13
"Crash of the Titans","PSP, NDS, Wii1, PS2, X360",2007,"Action","Vivendi Games",1.68,0.33000000000000007,0,0.32000000000000006,2.32,14
"Crash: Mind Over Mutant","PS2, X360, Wii1, PSP, NDS",2008,"Platform","Vivendi Games",1.33,0.68,0,0.29000000000000004,2.3,13
"Crash: Twinsanity","PS2, XB",2004,"Platform","Vivendi Games",0.43,0.28,0,0.09,0.79,17
"Crayola: Colorful Journey","Wii1",2009,"Misc","Crave Entertainment",0.07,0,0,0.01,0.08,12
"Crayola: Treasure Adventures","NDS",2007,"Puzzle","Ignition Entertainment",0.43,0.01,0,0.03,0.47,14
"Crayon Shin-Chan Shokkugan! Densetsu o Yobu Omake Daiketsusen!!","NDS",2010,"Action","Namco Bandai Games",0,0,0.09,0,0.09,11
"Crayon Shin-Chan: Arashi o Yobu Enji","SNES",1993,"Platform","Namco Bandai Games",0,0,0.46,0,0.46,28
"Crayon Shin-Chan: Densetsu o Yobu Omake no To Shukkugaan!","GBA",2006,"Action","Banpresto",0,0,0.07,0,0.07,15
"Crayon Shin-Chan: Obaka Daininden - Susume! Kasukabe Ninja Tai!","NDS",2010,"Action","Namco Bandai Games",0,0,0.07,0,0.07,11
"Crayon Shin-Chan: Uchuu de Achoo!? Yuujou no Oba-Karate!!","3DS",2011,"Action","Namco Bandai Games",0,0,0.02,0,0.02,10
"Crayon Shin-chan: Arashi o Yobu Kasukabe Eiga Stars!","3DS",2014,"Adventure","Namco Bandai Games",0,0,0.06,0,0.06,7
"Crazy Chicken Tales","Wii1",2009,"Action","Conspiracy Entertainment",0.06,0,0,0,0.06,12
"Crazy Chicken: Atlantis Quest","NDS",2007,"Platform","Phenomedia",0.04,0,0,0,0.05,14
"Crazy Chicken: Pharaoh's Treasure","NDS",2007,"Puzzle","Phenomedia",0.05,0,0,0,0.06,14
"Crazy Chicken: Star Karts","NDS",2008,"Racing","Phenomedia",0.03,0,0,0,0.03,13
"Crazy Climber","2600",1981,"Action","Atari",0.21,0.01,0,0,0.22,40
"Crazy Machines","NDS, Wii1",2008,"Puzzle","DTP Entertainment",0.01,0.04,0,0,0.06,13
"Crazy Taxi","PS2, DC, GC",2000,"Racing","Acclaim Entertainment",2.59,1.7200000000000002,0.19999999999999998,0.31,4.82,21
"Crazy Taxi 2","DC",2001,"Racing","Sega",0,0,0.07,0,0.07,20
"Crazy Taxi 3: High Roller","XB",2002,"Racing","Sega",0.14,0.04,0.02,0.01,0.2,19
"Crazy Taxi: Catch a Ride","GBA",2003,"Racing","THQ",0.21,0.08,0,0.01,0.3,18
"Crazy Taxi: Fare Wars","PSP",2007,"Racing","Sega",0.1,0.22,0.02,0.12,0.47,14
"Create","Wii1, PS3, X360, PC",2010,"Action","Electronic Arts",0.47000000000000003,0.09999999999999999,0,0.060000000000000005,0.6200000000000001,11
"Creeper World 3: Arc Eternal","Wii1",2009,"Strategy","Namco Bandai Games",0,0,0.1,0,0.1,12
"Crime Crackers","PSX",1994,"Role-Playing","Sony Computer Entertainment",0,0,0.09,0.01,0.1,27
"Crime Killer","PSX",1998,"Racing","Interplay",0.07,0.04,0,0.01,0.12,23
"Crime Lab: Body of Evidence","NDS",2010,"Adventure","City Interactive",0.05,0.01,0,0,0.07,11
"Crime Life: Gang Wars","XB",2005,"Action","Konami Digital Entertainment",0.04,0.01,0,0,0.05,16
"Crime Scene","NDS",2009,"Adventure","Nobilis",0,0.02,0,0,0.02,12
"Criminal Girls 2","PSV",2015,"Role-Playing","Nippon Ichi Software",0,0,0.03,0,0.03,6
"Criminal Girls: Invite Only","PSV, PSP",2010,"Role-Playing","Nippon Ichi Software",0.04,0.02,0.12,0.02,0.19,11
"Crimson Gem Saga","PSP",2008,"Role-Playing","Sega",0.06,0,0,0,0.06,13
"Crimson Sea","XB",2002,"Action","Tecmo Koei",0.04,0.01,0.04,0,0.09,19
"Crimson Sea 2","PS2",2004,"Action","Tecmo Koei",0.03,0.03,0,0.01,0.07,17
"Crimson Skies: High Road to Revenge","XB",2003,"Simulation","Microsoft Game Studios",0.65,0.19,0,0.03,0.87,18
"Crimson Tears","PS2",2004,"Role-Playing","Capcom",0.02,0.01,0,0,0.03,17
"Crisis Core: Final Fantasy VII","PSP",2007,"Role-Playing","Square Enix",1.35,0.6,0.8,0.44,3.19,14
"Critical Depth","PSX",1997,"Action","GT Interactive",0.13,0.09,0,0.01,0.23,24
"Criticom","PSX",1996,"Fighting","Vic Tokai",0.07,0.05,0,0.01,0.12,25
"Croc 2","PSX",1999,"Platform","Fox Interactive",0.41,0.28,0,0.05,0.73,22
"Croc: Legend of the Gobbos","PSX",1997,"Platform","Fox Interactive",1.57,1.79,0,0.2,3.56,24
"Cross + Channel","PSP",2010,"Adventure","CyberFront",0,0,0.02,0,0.02,11
"Cross Ange: Tenshi to Ryuu no Rondo tr.","PSV",2015,"Action","Namco Bandai Games",0,0,0.02,0,0.02,6
"Cross Channel: In Memory of All People","X360",2011,"Adventure","CyberFront",0,0,0.02,0,0.02,10
"Cross Edge","PS3",2008,"Role-Playing","Nippon Ichi Software",0.14,0.02,0.05,0.02,0.23,13
"Cross Edge Dash","X360",2009,"Role-Playing","Compile Heart",0,0,0.01,0,0.01,12
"Cross Treasures","NDS",2009,"Role-Playing","Square Enix",0,0,0.02,0,0.02,12
"Crossroad Crisis","PSX",2000,"Puzzle","Success",0.01,0,0,0,0.01,21
"CrossworDS","NDS",2008,"Puzzle","Deep Silver",0.51,0,0,0.04,0.55,13
"Crouching Tiger, Hidden Dragon","PS2, GBA, XB",2003,"Action","Ubisoft",0.09,0.060000000000000005,0,0.02,0.17,18
"Cruis'n","Wii1",2007,"Racing","Midway Games",0.1,0.01,0,0.01,0.12,14
"Cruis'n Exotica","N64",2000,"Racing","Midway Games",0.17,0.04,0,0,0.21,21
"Cruis'n USA","N64",1996,"Racing","Nintendo",1.69,0.04,0,0.01,1.74,25
"Cruis'n World","N64",1998,"Racing","Nintendo",0.59,0.04,0,0.01,0.64,23
"Cruise Ship Vacation Games","Wii1",2009,"Puzzle","Avanquest",0.13,0,0,0.01,0.14,12
"Crusader: No Remorse","PSX",1996,"Adventure","Electronic Arts",0.03,0.02,0,0,0.05,25
"Crusaders of Might and Magic","PSX",1999,"Role-Playing","3DO",0.14,0.1,0,0.02,0.25,22
"Crush","PSP",2007,"Puzzle","Sega",0.07,0,0,0.01,0.08,14
"Crush3D","3DS",2012,"Platform","Sega",0.07,0.04,0,0.01,0.12,9
"Crushed Baseball","GBA",2004,"Sports","Summitsoft",0.03,0.01,0,0,0.04,17
"Crypt Killer","PSX",1997,"Shooter","Konami Digital Entertainment",0.02,0.01,0,0,0.04,24
"Crysis","PC",2007,"Shooter","Electronic Arts",0,0.69,0,0.03,0.72,14
"Crysis 2","X360, PS3, PC",2011,"Action","Electronic Arts",1.3099999999999998,1.5199999999999998,0.08,0.45999999999999996,3.3900000000000006,10
"Crysis 3","X360, PS3, PC",2013,"Shooter","Electronic Arts",0.9400000000000001,1.15,0.04,0.35,2.46,8
"Crysis: Maximum Edition","PC",2009,"Shooter","Electronic Arts",0,0.07,0,0.02,0.09,12
"Crysis: Warhead","PC",2008,"Shooter","Electronic Arts",0,0.02,0,0,0.02,13
"Crystal Castles","2600",1983,"Action","Atari",0.72,0.04,0,0.01,0.77,38
"Cube","PSP",2007,"Puzzle","D3Publisher",0.02,0,0,0,0.02,14
"Cubic Ninja","3DS",2011,"Platform","Ubisoft",0.05,0.04,0,0.01,0.1,10
"Cubivore: Survival of the Fittest","GC",2002,"Adventure","Nintendo",0.01,0,0.15,0,0.17,19
"Culdcept","3DS, PS2",2002,"Misc","Nintendo",0.01,0.01,0.16,0,0.19,19
"Culdcept DS","NDS",2008,"Strategy","Sega",0,0,0.1,0,0.1,13
"Culdcept Revolt","3DS",2016,"Strategy","Nintendo",0,0,0.05,0,0.05,5
"Culdcept SAGA","X360",2006,"Role-Playing","Namco Bandai Games",0.12,0,0.03,0.01,0.16,15
"Curious George","GBA, GC, PS2, XB",2006,"Action","Namco Bandai Games",0.31,0.13,0,0.02,0.45999999999999996,15
"Curse of the Amsterdam Diamond","NDS",2012,"Puzzle","Easy Interactive",0,0.01,0,0,0.02,9
"Cursed Mountain","Wii1",2009,"Adventure","Deep Silver",0.09,0.1,0,0.02,0.22,12
"Custer's Revenge","2600",1981,"Action","Mystique",0.76,0.05,0,0.01,0.82,40
"Custom Beat Battle: Draglade 2","NDS",2008,"Fighting","Namco Bandai Games",0,0,0.03,0,0.03,13
"Custom Drive","PSP",2012,"Action","D3Publisher",0,0,0.02,0,0.02,9
"Custom Robo","GC",2004,"Role-Playing","Nintendo",0.29,0.07,0,0.01,0.37,17
"Custom Robo Arena","NDS",2006,"Fighting","Nintendo",0.02,0.02,0.12,0,0.17,15
"Custom Robo V2","N64",2000,"Fighting","Nintendo",0,0,0.34,0.05,0.39,21
"Cut the Rope","3DS",2014,"Puzzle","Activision",0.06,0,0,0.01,0.07,7
"Cy Girls","PS2",2004,"Action","Konami Digital Entertainment",0.02,0.01,0,0,0.04,17
"Cyber Sled","PSX",1995,"Action","Sony Computer Entertainment",0,0,0.13,0.01,0.14,26
"Cyber Troopers Virtual-On","SAT",1995,"Fighting","Sega",0,0,0.42,0,0.42,26
"Cyber Troopers Virtual-On Marz","PS2",2003,"Fighting","Sega",0.02,0.01,0,0,0.04,18
"CyberTiger","PSX, N64",1998,"Sports","Electronic Arts",0.38,0.23,0,0.04,0.6499999999999999,23
"Cyberia","PSX",1995,"Action","Interplay",0.05,0.03,0,0.01,0.09,26
"D","PSX",1995,"Adventure","Acclaim Entertainment",0,0,0.1,0.01,0.11,26
"D.C. II P.S.: Da Capo II Plus Situation","PS2",2008,"Adventure","Kadokawa Shoten",0,0,0.06,0,0.06,13
"D.C. III: Da Capo III","PSP",2013,"Adventure","Kadokawa Games",0,0,0.03,0,0.03,8
"D.C.F.S.: Da Capo Four Seasons","PS2",2005,"Adventure","Kadokawa Shoten",0,0,0.04,0,0.04,16
"D.C.I.F.: Da Capo Innocent Finale","PS2",2009,"Adventure","Sweets",0,0,0.03,0,0.03,12
"D.Gray-man: Kami no Shitotachi","NDS",2007,"Adventure","Konami Digital Entertainment",0,0,0.05,0,0.05,14
"D.Gray-man: Sousha no Shikaku","PS2",2008,"Adventure","Konami Digital Entertainment",0,0,0.02,0,0.02,13
"D1 Professional Drift Grand Prix Series","PS2",2005,"Racing","Yuke's",0.01,0.01,0,0,0.03,16
"DC Universe Online","PS3, PC",2011,"Role-Playing","Sony Online Entertainment",0.51,0.18,0,0.08,0.76,10
"DDRMAX2: Dance Dance Revolution","PS2",2003,"Simulation","Konami Digital Entertainment",1.05,0.59,0,0.18,1.81,18
"DEATH NOTE: Kira Game","NDS",2007,"Adventure","Konami Digital Entertainment",0,0,0.12,0,0.12,14
"DEATH NOTE: L o Tsugu Mono","NDS",2007,"Adventure","Konami Digital Entertainment",0,0,0.02,0,0.02,14
"DECA Sports Freedom","X360",2010,"Sports","Hudson Soft",0.27,0.04,0,0.02,0.33,11
"DICE: DNA Integrated Cybernetic Enterprises","PS2",2005,"Shooter","Namco Bandai Games",0.01,0.01,0,0,0.03,16
"DJ Hero","X360, PS3, Wii1, PS2",2009,"Misc","Activision",1.55,0.99,0,0.52,3.06,12
"DJ Hero 2","X360, PS3, Wii1",2010,"Misc","Activision",1.5999999999999999,0.4,0,0.19,2.1999999999999997,11
"DJ Max Fever","PSP",2009,"Misc","PM Studios",0.09,0,0,0.01,0.1,12
"DJ Max Portable 3","PSP",2010,"Misc","CyberFront",0.01,0,0.02,0,0.03,11
"DJ Max Technika Tune","PSV",2012,"Misc","CyberFront",0,0,0.01,0,0.01,9
"DJ Star","NDS",2009,"Misc","Deep Silver",0.01,0,0,0,0.02,12
"DK: King of Swing","GBA",2005,"Platform","Nintendo",0.17,0.06,0,0,0.24,16
"DOA 2: Dead or Alive 2 Hardcore","PS2",2000,"Fighting","Tecmo Koei",0,0,0.11,0,0.11,21
"DS Bimoji Training","NDS",2008,"Misc","Nintendo",0,0,0.56,0,0.56,13
"DS Bungaku Zenshuu","NDS",2007,"Misc","Nintendo",0,0,0.26,0,0.26,14
"DS Kageyama Method: Dennou Hanpuku - Masu x Masu Hyaku Masu Keisan","NDS",2006,"Misc","Shogakukan",0,0,0.2,0,0.2,15
"DS Kageyama Method: Dennou Hanpuku - Tadashii Kanji Kakitori-Kun","NDS",2007,"Misc","Shogakukan",0,0,0.1,0,0.1,14
"DS Nishimura Kyotaro Suspense 2 Shin Tantei Series: Kanazawa Hakodate - Gokkan no Kyoukoku - Fukushuu no Kage","NDS",2008,"Adventure","Tecmo Koei",0,0,0.07,0,0.07,13
"DS Nishimura Kyotaro Suspense Shin Tantei Series: Kyoto Atami Zekkai no Kotou - Satsui no Wana","NDS",2007,"Adventure","Tecmo Koei",0,0,0.22,0,0.22,14
"DS Rakubiki Jiten","NDS",2005,"Misc","Nintendo",0,0,0.16,0,0.16,16
"DS Uranai Seikatsu","NDS",2009,"Misc","Nintendo",0,0,0.07,0,0.07,12
"DS Yamamura Misa Suspense: Maiko Kogiku - Kisha Katherine - Sougiya Isa Akashi - Koto ni Maru Hana Sanrin: Kyoto Satujin Jinken File","NDS",2008,"Adventure","Tecmo Koei",0,0,0.12,0,0.12,13
"DT Carnage","PSP",2009,"Racing","Agetec",0.03,0,0,0,0.04,12
"DT Racer","PS2",2005,"Racing","XS Games",0.06,0.05,0,0.02,0.13,16
"DX Game of Life","PSX",1996,"Misc","Takara",0,0,0.27,0.02,0.29,25
"DX Game of Life 2","PSX",1997,"Misc","Takara",0,0,0.31,0.02,0.33,24
"Da Capo I & II Plus Situation Portable","PSP",2010,"Adventure","Kadokawa Shoten",0,0,0.04,0,0.04,11
"DaGeDar","NDS",2011,"Action","GameMill Entertainment",0.09,0,0,0.01,0.09,10
"Dai Senryaku VII: Modern Military Tactics","XB",2003,"Strategy","Kool Kizz",0.03,0.01,0,0,0.04,18
"Dai-2-Ji Super Robot Taisen OG","PS3",2012,"Strategy","Namco Bandai Games",0,0,0.3,0,0.3,9
"Dai-2-Ji Super Robot Taisen Z Saisei-hen","PSP",2012,"Strategy","Namco Bandai Games",0,0,0.36,0,0.36,9
"Dai-2-Ji Super Robot Taisen Z: Hakai-hen","PSP",2011,"Strategy","Banpresto",0,0,0.42,0,0.42,10
"Dai-2-Ji Super Robot Taisen α","PS2",2003,"Strategy","Banpresto",0,0,0.6,0,0.6,18
"Dai-3-Ji Super Robot Taisen α: Shuuen no Ginga e","PS2",2005,"Strategy","Banpresto",0,0,0.59,0,0.59,16
"Dai-4-Ji Super Robot Taisen","SNES",1995,"Strategy","Banpresto",0,0,0.38,0,0.38,26
"Dai-4-Ji Super Robot Taisen S","PSX",1996,"Strategy","Banpresto",0,0,0.48,0.03,0.51,25
"Daibakushou: Jinsei Gekijou","SNES",1995,"Misc","Taito",0,0,0.03,0,0.03,26
"Daigasso! Band Brothers","NDS",2004,"Misc","Nintendo",0,0,0.19,0,0.19,17
"Daigasso! Band Brothers P","3DS",2013,"Misc","Nintendo",0,0,0.18,0,0.18,8
"Daikaijuu Battle: Ultra Coliseum","Wii1",2008,"Fighting","Namco Bandai Games",0,0,0.02,0,0.02,13
"Daikaijuu Battle: Ultra Coliseum DX - Ultra Senshi Daishuuketsu","Wii1",2010,"Fighting","Namco Bandai Games",0,0,0.04,0,0.04,11
"Daikaijyuu Monogatari","SNES",1994,"Role-Playing","Hudson Soft",0,0,0.3,0,0.3,27
"Daikaijyuu Monogatari II","SNES",1996,"Role-Playing","Hudson Soft",0,0,0.12,0,0.12,25
"Daisy Fuentes Pilates","Wii1",2009,"Sports","505 Games",0.17,0.06,0,0.02,0.26,12
"Daito Giken Koushiki Pachi-Slot Simulator Hihouden: Taiyou o Motomeru Monotachi","PS3",2013,"Misc","Paon Corporation",0,0,0.03,0,0.03,8
"Daito Giken Koushiki Pachi-Slot Simulator: 24 - Twenty-Four","PS2",2008,"Misc","Paon",0,0,0.01,0,0.01,13
"Daito Giken Koushiki Pachi-Slot Simulator: Hihouden","PS2",2006,"Misc","Daito",0,0,0.11,0,0.11,15
"Daito Giken Koushiki Pachi-Slot Simulator: Hihouden - Fuujirareta Megami Portable","PSP",2011,"Misc","Paon",0,0,0.02,0,0.02,10
"Daito Giken Koushiki Pachi-Slot Simulator: Hihouden - Ossu! Banchou - Yoshimune DS","NDS",2007,"Misc","Paon",0,0,0.1,0,0.1,14
"Daito Giken Koushiki Pachi-Slot Simulator: Ossu! Banchou Portable","PSP",2006,"Misc","Daito",0,0,0.06,0,0.06,15
"Daito Giken Koushiki Pachi-Slot Simulator: Ossu! Misao + Maguro Densetsu Portable","PSP",2010,"Misc","Paon",0,0,0.02,0,0.02,11
"Daito Giken Koushiki Pachi-Slot Simulator: Shake II","PS2",2007,"Misc","Paon",0,0,0.04,0,0.04,14
"Daito Giken Koushiki Pachi-Slot Simulator: Shin Yoshimune","PS2",2008,"Misc","Paon",0,0,0.06,0,0.06,13
"Daito Giken Koushiki Pachi-Slot Simulator: Yoshimune Portable","PSP",2006,"Misc","Daito",0,0,0.03,0,0.03,15
"Daito Giken Premium Pachi-Slot Collection: Yoshimune","PS2",2006,"Misc","Daito",0,0,0.03,0,0.03,15
"Daiya no Kuni no Alice: Wonderful Mirror World","PSP",2013,"Adventure","Quinrose",0,0,0.01,0,0.01,8
"Dakar 2: The World's Ultimate Rally","GC, XB",2003,"Racing","Acclaim Entertainment",0.04,0.01,0,0,0.05,18
"Damage Inc.: Pacific Squadron WWII","X360",2012,"Simulation","Mad Catz",0.07,0,0,0.01,0.07,9
"Damnation","PS3, X360, PC",2009,"Shooter","Codemasters",0.13,0.03,0,0.02,0.17,12
"Danball Senki","PSP",2011,"Role-Playing","Level 5",0,0,0.39,0,0.39,10
"Danball Senki Boost","PSP",2011,"Action","Level 5",0,0,0.22,0,0.22,10
"Dance Central","X360",2010,"Misc","MTV Games",2.15,0.77,0.01,0.26,3.19,11
"Dance Central 2","X360",2011,"Misc","Microsoft Game Studios",1.45,0.42,0.01,0.16,2.04,10
"Dance Central 3","X360",2012,"Misc","Microsoft Game Studios",0.57,0.2,0,0.06,0.83,9
"Dance Central: Spotlight","XOne",2014,"Misc","Microsoft Game Studios",0.15,0.03,0,0,0.19,7
"Dance Dance Revolution (Japan)","PSX",1999,"Simulation","Konami Digital Entertainment",0,0,1.26,0.09,1.35,22
"Dance Dance Revolution (North America)","PSX",2001,"Simulation","Konami Digital Entertainment",0.08,0.06,0,0.01,0.15,20
"Dance Dance Revolution 2nd ReMIX","PSX",1999,"Simulation","Konami Digital Entertainment",0,0,0.9,0.06,0.96,22
"Dance Dance Revolution 3rdMix","PSX",2000,"Simulation","Konami Digital Entertainment",0,0,0.33,0.02,0.36,21
"Dance Dance Revolution Disney Mix","PSX",2000,"Simulation","Konami Digital Entertainment",0.02,0.02,0,0,0.04,21
"Dance Dance Revolution Extra Mix","PSX",2001,"Simulation","Konami Digital Entertainment",0,0,0.02,0,0.02,20
"Dance Dance Revolution Extreme","PS2",2004,"Simulation","Konami Digital Entertainment",1.04,0.81,0,0.27,2.13,17
"Dance Dance Revolution Extreme 2","PS2",2005,"Simulation","Konami Digital Entertainment",0.95,0.04,0,0.16,1.14,16
"Dance Dance Revolution SuperNOVA","PS2",2006,"Simulation","Konami Digital Entertainment",0.87,0.03,0,0.14,1.04,15
"Dance Dance Revolution SuperNOVA 2","PS2",2007,"Simulation","Konami Digital Entertainment",0.64,0.03,0.02,0.1,0.79,14
"Dance Dance Revolution Ultramix","XB",2003,"Simulation","Konami Digital Entertainment",0.42,0.11,0,0.02,0.54,18
"Dance Dance Revolution Ultramix 2","XB",2004,"Simulation","Konami Digital Entertainment",0.32,0.09,0,0.02,0.42,17
"Dance Dance Revolution Ultramix 3","XB",2005,"Simulation","Konami Digital Entertainment",0.28,0.08,0,0.01,0.38,16
"Dance Dance Revolution Universe","X360",2007,"Simulation","Konami Digital Entertainment",0.3,0,0,0.02,0.32,14
"Dance Dance Revolution Universe 2","X360",2007,"Simulation","Konami Digital Entertainment",0.46,0.01,0,0.04,0.5,14
"Dance Dance Revolution Universe 3","X360",2008,"Simulation","Konami Digital Entertainment",0.28,0,0,0.02,0.3,13
"Dance Dance Revolution X","PS2",2008,"Simulation","Konami Digital Entertainment",0.85,0.66,0.01,0.22,1.75,13
"Dance Dance Revolution X2","PS2",2009,"Simulation","Konami Digital Entertainment",1.09,0.85,0,0.28,2.23,12
"Dance Dance Revolution: Disney Channel Edition","PS2",2008,"Simulation","Konami Digital Entertainment",0.12,0.09,0,0.03,0.24,13
"Dance Dance Revolution: Disney Grooves","Wii1",2009,"Simulation","Konami Digital Entertainment",0.17,0,0,0.01,0.18,12
"Dance Dance Revolution: Hottest Party","Wii1",2007,"Simulation","Konami Digital Entertainment",1.36,0.52,0,0.2,2.08,14
"Dance Dance Revolution: Hottest Party 2","Wii1",2008,"Simulation","Konami Digital Entertainment",0.95,0.48,0.01,0.15,1.6,13
