"Name","Concatenate(Platform)","Min*(Year)","First(Genre)","First(Publisher)","Sum(NA_Sales)","Sum(EU_Sales)","Sum(JP_Sales)","Sum(Other_Sales)","Sum(Global_Sales)"
"Cyber Sled","PSX",1995,"Action","Sony Computer Entertainment",0,0,0.13,0.01,0.14
"Cyber Troopers Virtual-On","SAT",1995,"Fighting","Sega",0,0,0.42,0,0.42
"Cyber Troopers Virtual-On Marz","PS2",2003,"Fighting","Sega",0.02,0.01,0,0,0.04
"CyberTiger","PSX, N64",1998,"Sports","Electronic Arts",0.38,0.23,0,0.04,0.6499999999999999
"Cyberia","PSX",1995,"Action","Interplay",0.05,0.03,0,0.01,0.09
"D","PSX",1995,"Adventure","Acclaim Entertainment",0,0,0.1,0.01,0.11
"D.C. II P.S.: Da Capo II Plus Situation","PS2",2008,"Adventure","Kadokawa Shoten",0,0,0.06,0,0.06
"D.C. III: Da Capo III","PSP",2013,"Adventure","Kadokawa Games",0,0,0.03,0,0.03
"D.C.F.S.: Da Capo Four Seasons","PS2",2005,"Adventure","Kadokawa Shoten",0,0,0.04,0,0.04
"D.C.I.F.: Da Capo Innocent Finale","PS2",2009,"Adventure","Sweets",0,0,0.03,0,0.03
"D.Gray-man: Kami no Shitotachi","NDS",2007,"Adventure","Konami Digital Entertainment",0,0,0.05,0,0.05
"D.Gray-man: Sousha no Shikaku","PS2",2008,"Adventure","Konami Digital Entertainment",0,0,0.02,0,0.02
"D1 Professional Drift Grand Prix Series","PS2",2005,"Racing","Yuke's",0.01,0.01,0,0,0.03
"DC Universe Online","PS3, PC",2011,"Role-Playing","Sony Online Entertainment",0.51,0.18,0,0.08,0.76
"DDRMAX2: Dance Dance Revolution","PS2",2003,"Simulation","Konami Digital Entertainment",1.05,0.59,0,0.18,1.81
"DEATH NOTE: Kira Game","NDS",2007,"Adventure","Konami Digital Entertainment",0,0,0.12,0,0.12
"DEATH NOTE: L o Tsugu Mono","NDS",2007,"Adventure","Konami Digital Entertainment",0,0,0.02,0,0.02
"DECA Sports Freedom","X360",2010,"Sports","Hudson Soft",0.27,0.04,0,0.02,0.33
"DICE: DNA Integrated Cybernetic Enterprises","PS2",2005,"Shooter","Namco Bandai Games",0.01,0.01,0,0,0.03
"DJ Hero","X360, PS3, Wii1, PS2",2009,"Misc","Activision",1.55,0.99,0,0.52,3.06
"DJ Hero 2","X360, PS3, Wii1",2010,"Misc","Activision",1.5999999999999999,0.4,0,0.19,2.1999999999999997
"DJ Max Fever","PSP",2009,"Misc","PM Studios",0.09,0,0,0.01,0.1
"DJ Max Portable 3","PSP",2010,"Misc","CyberFront",0.01,0,0.02,0,0.03
"DJ Max Technika Tune","PSV",2012,"Misc","CyberFront",0,0,0.01,0,0.01
"DJ Star","NDS",2009,"Misc","Deep Silver",0.01,0,0,0,0.02
"DK: King of Swing","GBA",2005,"Platform","Nintendo",0.17,0.06,0,0,0.24
"DOA 2: Dead or Alive 2 Hardcore","PS2",2000,"Fighting","Tecmo Koei",0,0,0.11,0,0.11
"DS Bimoji Training","NDS",2008,"Misc","Nintendo",0,0,0.56,0,0.56
"DS Bungaku Zenshuu","NDS",2007,"Misc","Nintendo",0,0,0.26,0,0.26
"DS Kageyama Method: Dennou Hanpuku - Masu x Masu Hyaku Masu Keisan","NDS",2006,"Misc","Shogakukan",0,0,0.2,0,0.2
"DS Kageyama Method: Dennou Hanpuku - Tadashii Kanji Kakitori-Kun","NDS",2007,"Misc","Shogakukan",0,0,0.1,0,0.1
"DS Nishimura Kyotaro Suspense 2 Shin Tantei Series: Kanazawa Hakodate - Gokkan no Kyoukoku - Fukushuu no Kage","NDS",2008,"Adventure","Tecmo Koei",0,0,0.07,0,0.07
"DS Nishimura Kyotaro Suspense Shin Tantei Series: Kyoto Atami Zekkai no Kotou - Satsui no Wana","NDS",2007,"Adventure","Tecmo Koei",0,0,0.22,0,0.22
"DS Rakubiki Jiten","NDS",2005,"Misc","Nintendo",0,0,0.16,0,0.16
"DS Uranai Seikatsu","NDS",2009,"Misc","Nintendo",0,0,0.07,0,0.07
"DS Yamamura Misa Suspense: Maiko Kogiku - Kisha Katherine - Sougiya Isa Akashi - Koto ni Maru Hana Sanrin: Kyoto Satujin Jinken File","NDS",2008,"Adventure","Tecmo Koei",0,0,0.12,0,0.12
"DT Carnage","PSP",2009,"Racing","Agetec",0.03,0,0,0,0.04
"DT Racer","PS2",2005,"Racing","XS Games",0.06,0.05,0,0.02,0.13
"DX Game of Life","PSX",1996,"Misc","Takara",0,0,0.27,0.02,0.29
"DX Game of Life 2","PSX",1997,"Misc","Takara",0,0,0.31,0.02,0.33
"Da Capo I & II Plus Situation Portable","PSP",2010,"Adventure","Kadokawa Shoten",0,0,0.04,0,0.04
"DaGeDar","NDS",2011,"Action","GameMill Entertainment",0.09,0,0,0.01,0.09
"Dai Senryaku VII: Modern Military Tactics","XB",2003,"Strategy","Kool Kizz",0.03,0.01,0,0,0.04
"Dai-2-Ji Super Robot Taisen OG","PS3",2012,"Strategy","Namco Bandai Games",0,0,0.3,0,0.3
"Dai-2-Ji Super Robot Taisen Z Saisei-hen","PSP",2012,"Strategy","Namco Bandai Games",0,0,0.36,0,0.36
"Dai-2-Ji Super Robot Taisen Z: Hakai-hen","PSP",2011,"Strategy","Banpresto",0,0,0.42,0,0.42
"Dai-2-Ji Super Robot Taisen α","PS2",2003,"Strategy","Banpresto",0,0,0.6,0,0.6
"Dai-3-Ji Super Robot Taisen α: Shuuen no Ginga e","PS2",2005,"Strategy","Banpresto",0,0,0.59,0,0.59
"Dai-4-Ji Super Robot Taisen","SNES",1995,"Strategy","Banpresto",0,0,0.38,0,0.38
"Dai-4-Ji Super Robot Taisen S","PSX",1996,"Strategy","Banpresto",0,0,0.48,0.03,0.51
"Daibakushou: Jinsei Gekijou","SNES",1995,"Misc","Taito",0,0,0.03,0,0.03
"Daigasso! Band Brothers","NDS",2004,"Misc","Nintendo",0,0,0.19,0,0.19
"Daigasso! Band Brothers P","3DS",2013,"Misc","Nintendo",0,0,0.18,0,0.18
"Daikaijuu Battle: Ultra Coliseum","Wii1",2008,"Fighting","Namco Bandai Games",0,0,0.02,0,0.02
"Daikaijuu Battle: Ultra Coliseum DX - Ultra Senshi Daishuuketsu","Wii1",2010,"Fighting","Namco Bandai Games",0,0,0.04,0,0.04
"Daikaijyuu Monogatari","SNES",1994,"Role-Playing","Hudson Soft",0,0,0.3,0,0.3
"Daikaijyuu Monogatari II","SNES",1996,"Role-Playing","Hudson Soft",0,0,0.12,0,0.12
"Daisy Fuentes Pilates","Wii1",2009,"Sports","505 Games",0.17,0.06,0,0.02,0.26
"Daito Giken Koushiki Pachi-Slot Simulator Hihouden: Taiyou o Motomeru Monotachi","PS3",2013,"Misc","Paon Corporation",0,0,0.03,0,0.03
"Daito Giken Koushiki Pachi-Slot Simulator: 24 - Twenty-Four","PS2",2008,"Misc","Paon",0,0,0.01,0,0.01
"Daito Giken Koushiki Pachi-Slot Simulator: Hihouden","PS2",2006,"Misc","Daito",0,0,0.11,0,0.11
"Daito Giken Koushiki Pachi-Slot Simulator: Hihouden - Fuujirareta Megami Portable","PSP",2011,"Misc","Paon",0,0,0.02,0,0.02
"Daito Giken Koushiki Pachi-Slot Simulator: Hihouden - Ossu! Banchou - Yoshimune DS","NDS",2007,"Misc","Paon",0,0,0.1,0,0.1
"Daito Giken Koushiki Pachi-Slot Simulator: Ossu! Banchou Portable","PSP",2006,"Misc","Daito",0,0,0.06,0,0.06
"Daito Giken Koushiki Pachi-Slot Simulator: Ossu! Misao + Maguro Densetsu Portable","PSP",2010,"Misc","Paon",0,0,0.02,0,0.02
"Daito Giken Koushiki Pachi-Slot Simulator: Shake II","PS2",2007,"Misc","Paon",0,0,0.04,0,0.04
"Daito Giken Koushiki Pachi-Slot Simulator: Shin Yoshimune","PS2",2008,"Misc","Paon",0,0,0.06,0,0.06
"Daito Giken Koushiki Pachi-Slot Simulator: Yoshimune Portable","PSP",2006,"Misc","Daito",0,0,0.03,0,0.03
"Daito Giken Premium Pachi-Slot Collection: Yoshimune","PS2",2006,"Misc","Daito",0,0,0.03,0,0.03
"Daiya no Kuni no Alice: Wonderful Mirror World","PSP",2013,"Adventure","Quinrose",0,0,0.01,0,0.01
"Dakar 2: The World's Ultimate Rally","GC, XB",2003,"Racing","Acclaim Entertainment",0.04,0.01,0,0,0.05
"Damage Inc.: Pacific Squadron WWII","X360",2012,"Simulation","Mad Catz",0.07,0,0,0.01,0.07
"Damnation","PS3, X360, PC",2009,"Shooter","Codemasters",0.13,0.03,0,0.02,0.17
"Danball Senki","PSP",2011,"Role-Playing","Level 5",0,0,0.39,0,0.39
"Danball Senki Boost","PSP",2011,"Action","Level 5",0,0,0.22,0,0.22
"Dance Central","X360",2010,"Misc","MTV Games",2.15,0.77,0.01,0.26,3.19
"Dance Central 2","X360",2011,"Misc","Microsoft Game Studios",1.45,0.42,0.01,0.16,2.04
"Dance Central 3","X360",2012,"Misc","Microsoft Game Studios",0.57,0.2,0,0.06,0.83
"Dance Central: Spotlight","XOne",2014,"Misc","Microsoft Game Studios",0.15,0.03,0,0,0.19
"Dance Dance Revolution (Japan)","PSX",1999,"Simulation","Konami Digital Entertainment",0,0,1.26,0.09,1.35
"Dance Dance Revolution (North America)","PSX",2001,"Simulation","Konami Digital Entertainment",0.08,0.06,0,0.01,0.15
"Dance Dance Revolution 2nd ReMIX","PSX",1999,"Simulation","Konami Digital Entertainment",0,0,0.9,0.06,0.96
"Dance Dance Revolution 3rdMix","PSX",2000,"Simulation","Konami Digital Entertainment",0,0,0.33,0.02,0.36
"Dance Dance Revolution Disney Mix","PSX",2000,"Simulation","Konami Digital Entertainment",0.02,0.02,0,0,0.04
"Dance Dance Revolution Extra Mix","PSX",2001,"Simulation","Konami Digital Entertainment",0,0,0.02,0,0.02
"Dance Dance Revolution Extreme","PS2",2004,"Simulation","Konami Digital Entertainment",1.04,0.81,0,0.27,2.13
"Dance Dance Revolution Extreme 2","PS2",2005,"Simulation","Konami Digital Entertainment",0.95,0.04,0,0.16,1.14
"Dance Dance Revolution SuperNOVA","PS2",2006,"Simulation","Konami Digital Entertainment",0.87,0.03,0,0.14,1.04
"Dance Dance Revolution SuperNOVA 2","PS2",2007,"Simulation","Konami Digital Entertainment",0.64,0.03,0.02,0.1,0.79
"Dance Dance Revolution Ultramix","XB",2003,"Simulation","Konami Digital Entertainment",0.42,0.11,0,0.02,0.54
"Dance Dance Revolution Ultramix 2","XB",2004,"Simulation","Konami Digital Entertainment",0.32,0.09,0,0.02,0.42
"Dance Dance Revolution Ultramix 3","XB",2005,"Simulation","Konami Digital Entertainment",0.28,0.08,0,0.01,0.38
"Dance Dance Revolution Universe","X360",2007,"Simulation","Konami Digital Entertainment",0.3,0,0,0.02,0.32
"Dance Dance Revolution Universe 2","X360",2007,"Simulation","Konami Digital Entertainment",0.46,0.01,0,0.04,0.5
"Dance Dance Revolution Universe 3","X360",2008,"Simulation","Konami Digital Entertainment",0.28,0,0,0.02,0.3
"Dance Dance Revolution X","PS2",2008,"Simulation","Konami Digital Entertainment",0.85,0.66,0.01,0.22,1.75
"Dance Dance Revolution X2","PS2",2009,"Simulation","Konami Digital Entertainment",1.09,0.85,0,0.28,2.23
"Dance Dance Revolution: Disney Channel Edition","PS2",2008,"Simulation","Konami Digital Entertainment",0.12,0.09,0,0.03,0.24
"Dance Dance Revolution: Disney Grooves","Wii1",2009,"Simulation","Konami Digital Entertainment",0.17,0,0,0.01,0.18
"Dance Dance Revolution: Hottest Party","Wii1",2007,"Simulation","Konami Digital Entertainment",1.36,0.52,0,0.2,2.08
"Dance Dance Revolution: Hottest Party 2","Wii1",2008,"Simulation","Konami Digital Entertainment",0.95,0.48,0.01,0.15,1.6
"Dance Dance Revolution: Hottest Party 3","Wii1",2009,"Simulation","Konami Digital Entertainment",0.26,0.14,0,0.04,0.45
"Dance Dance Revolution: Hottest Party 5","Wii1",2011,"Misc","Konami Digital Entertainment",0,0.03,0,0,0.03
"Dance Dance Revolution: Mario Mix","GC",2005,"Misc","Nintendo",0.36,0.09,0,0.01,0.47
"Dance Dance Revolution: Mario Mix (JP sales)","GC",2005,"Simulation","Nintendo",0,0,0.05,0,0.06
"Dance Factory","PS2",2006,"Action","Codemasters",0.02,0.01,0,0,0.03
"Dance Paradise","X360",2010,"Misc","Mindscape",0.1,0.01,0,0.01,0.12
"Dance Party: Pop Hits","Wii1",2009,"Misc","Nordic Games",0,0.36,0,0.02,0.39
"Dance Sensation!","Wii1",2010,"Misc","Majesco Entertainment",0.06,0,0,0,0.06
"Dance on Broadway","Wii1, PS3",2010,"Misc","Ubisoft",0.32,0.6900000000000001,0,0.13,1.1400000000000001
"Dance with Devils","PSV",2016,"Action","N/A",0,0,0.01,0,0.01
"Dance! It's Your Stage","PS3",2011,"Misc","DTP Entertainment",0,0.02,0,0.01,0.02
"DanceDanceRevolution","Wii1, PS3, X360",2010,"Simulation","Konami Digital Entertainment",0.49,0.09,0,0.05,0.64
"DanceMasters","X360",2010,"Misc","Konami Digital Entertainment",0.15,0.02,0.02,0.01,0.19
"DanceStar Party","PS3",2011,"Misc","Sony Computer Entertainment",0,0.35,0,0.1,0.46
"Dancing Blade II: Tears of Eden","PSX",1999,"Adventure","Konami Digital Entertainment",0,0,0.03,0,0.03
"Dancing With The Stars","Wii1, PS2",2007,"Misc","Activision",0.3,0.06,0,0.04,0.4
"Dancing on Ice","Wii1, NDS",2010,"Sports","Ghostlight",0,0.11,0,0.01,0.12000000000000001
"Dancing with the Stars: We Dance!","NDS, Wii1",2008,"Misc","Activision",0.72,0,0,0.06,0.78
"Danganronpa 2: Goodbye Despair","PSV, PSP",2012,"Misc","Nippon Ichi Software",0.13,0.07,0.19,0.06,0.45
"Danganronpa Another Episode: Ultra Despair Girls","PSV",2014,"Action","Nippon Ichi Software",0.1,0.03,0.12,0.04,0.28
"Danganronpa: Trigger Happy Havoc","PSV",2013,"Misc","Nippon Ichi Software",0.14,0.07,0.15,0.06,0.41
"Dangerous Ji-San to 1000-nin no Otomodachi Yokoshima","3DS",2012,"Action","Namco Bandai Games",0,0,0.08,0,0.08
"Daniel X: The Ultimate Power","NDS",2010,"Action","THQ",0.07,0,0,0.01,0.08
"Danny Phantom: The Ultimate Enemy","GBA",2005,"Action","THQ",0.16,0.06,0,0,0.22
"Danny Phantom: Urban Jungle","NDS",2006,"Action","THQ",0.04,0,0,0,0.04
"Dante's Inferno","PS3, X360, PSP",2010,"Action","Electronic Arts",1.3900000000000001,0.51,0.06999999999999999,0.23,2.2
"Darius Burst: Chronicle Saviours","PSV",2016,"Action","Kadokawa Games",0,0,0.03,0,0.03
"Darius Gaiden","SAT",1995,"Shooter","Acclaim Entertainment",0,0,0.1,0,0.1
"Darius II","SAT",1995,"Shooter","Taito",0,0,0.03,0,0.03
"Dark Angel: Vampire Apocalypse","PS2",2001,"Role-Playing","Metro 3D",0.04,0.03,0,0.01,0.09
"Dark Arena","GBA",2002,"Shooter","THQ",0.03,0.01,0,0,0.04
"Dark Cavern","2600",1981,"Shooter","Mattel Interactive",0.22,0.01,0,0,0.24
"Dark Cloud","PS2",2000,"Role-Playing","Sony Computer Entertainment",0.83,0.44,0.08,0.19,1.54
"Dark Cloud 2","PS2",2002,"Role-Playing","Sony Computer Entertainment",0.38,0.25,0.26,0.07,0.96
"Dark Half","SNES",1996,"Role-Playing","Enix Corporation",0,0,0.04,0,0.04
"Dark Messiah of Might and Magic Elements","X360",2008,"Role-Playing","Ubisoft",0.16,0.02,0.01,0.02,0.2
"Dark Rift","N64",1997,"Fighting","Vic Tokai",0.12,0.03,0,0,0.15
"Dark Sector","X360, PS3",2008,"Shooter","D3Publisher",0.45,0.36,0.02,0.12000000000000001,0.95
"Dark Souls","PS3, X360, PC",2011,"Role-Playing","Namco Bandai Games",1.3900000000000001,0.8800000000000001,0.54,0.32,3.1399999999999997
"Dark Souls II","PS3, X360, PS4, XOne, PC",2014,"Role-Playing","Namco Bandai Games",1.29,0.93,0.49000000000000005,0.35000000000000003,3.0700000000000003
"Dark Souls III","PS4, XOne, PC",2016,"Role-Playing","Namco Bandai Games",0.8099999999999999,0.5800000000000001,0.33,0.24,1.9600000000000002
"Dark Summit","PS2, XB, GC",2001,"Sports","THQ",0.23,0.11,0,0.03,0.36
"Dark Tales: Edgar Allan Poe's The Premature Burial","PC",2012,"Puzzle","Focus Multimedia",0,0.02,0,0,0.02
"Dark Void","PS3, X360, PC",2010,"Action","Capcom",0.37,0.22,0,0.09,0.69
"DarkStar One","PC",2006,"Simulation","Ubisoft",0,0.03,0,0.01,0.04
"DarkStar One: Broken Alliance","X360",2010,"Simulation","Kalypso Media",0.11,0.08,0,0.02,0.2
"Darkened Skye","GC",2002,"Adventure","TDK Mediactive",0.01,0,0,0,0.01
"Darkest of Days","X360",2009,"Shooter","Phantom EFX",0.09,0,0,0.01,0.09
"Darklight Conflict","PSX",1997,"Simulation","Electronic Arts",0.02,0.01,0,0,0.04
"Darksiders","X360, PC, PS3",2010,"Action","THQ",0.75,0.36,0.01,0.12000000000000001,1.23
"Darksiders II","PS3, X360, PS4, WiiU, PC, XOne",2012,"Action","THQ",1.02,0.9400000000000001,0.01,0.30000000000000004,2.2600000000000002
"Darkspore","PC",2011,"Role-Playing","Electronic Arts",0.07,0.03,0,0.01,0.12
"Darkstalkers 3","PSX",1998,"Fighting","Capcom",0.11,0.07,0,0.01,0.19
"Darkstalkers Chronicle: The Chaos Tower","PSP",2004,"Fighting","Capcom",0.13,0,0,0.01,0.15
"Darkstalkers Resurrection","PS3",2013,"Fighting","Capcom",0,0,0.03,0,0.03
"Darkstone","PSX",2001,"Role-Playing","Electronic Arts",0.37,0.25,0,0.04,0.66
"Darkwatch","PS2, XB",2005,"Shooter","Ubisoft",0.32,0.16999999999999998,0,0.05,0.53
"Data East Arcade Classics","Wii1",2010,"Misc","Majesco Entertainment",0.08,0,0,0.01,0.09
"Date A Live: Arusu Install","PS3",2014,"Adventure","Compile Heart",0,0,0.02,0,0.02
"Date A Live: Rine Utopia","PS3",2013,"Adventure","Compile Heart",0,0,0.04,0,0.04
"Date-A-Live Twin Edition: Rio Reincarnation","PSV",2015,"Action","Compile Heart",0,0,0.02,0,0.02
"Datenshi no Amai Yuuwaku x Kaikan Phrase","NDS",2010,"Adventure","FuRyu",0,0,0.01,0,0.01
"Dave Mirra BMX Challenge","PSP, Wii1",2006,"Sports","Oxygen Interactive",0.12,0,0,0.02,0.14
"Dave Mirra Freestyle BMX","PSX",2000,"Sports","Acclaim Entertainment",0.91,0.11,0,0.03,1.05
"Dave Mirra Freestyle BMX 2","PS2, GC, XB, GBA",2001,"Sports","Acclaim Entertainment",1.17,0.6800000000000002,0,0.2,2.05
"Dave Mirra Freestyle BMX 3","GBA",2002,"Sports","Acclaim Entertainment",0.02,0.01,0,0,0.03
"Dave Mirra Freestyle BMX: Maximum Remix","PSX",2001,"Sports","Acclaim Entertainment",0.15,0.1,0,0.02,0.27
"Davis Cup Tennis","GBA",2002,"Sports","Ubisoft",0.01,0,0,0,0.02
"Dawn of Discovery","PC, Wii1, NDS",2009,"Simulation","Ubisoft",0.2,0.41000000000000003,0,0.1,0.72
"Dawn of Heroes","NDS",2010,"Role-Playing","Majesco Entertainment",0.07,0,0,0,0.08
"Dawn of Mana","PS2",2006,"Role-Playing","Square Enix",0.07,0.05,0.29,0.02,0.43
"Daxter","PSP",2006,"Platform","Sony Computer Entertainment",2.45,1.02,0,0.75,4.22
"Daytona USA","SAT",1994,"Racing","Sega",0,0,0.55,0,0.55
"Daytona USA Championship Circuit Edition","SAT",1995,"Racing","Sega",0,0,0.14,0,0.14
"Dead Ball Zone","PSX",1998,"Sports","GT Interactive",0.02,0.02,0,0,0.04
"Dead Head Fred","PSP",2007,"Action","D3Publisher",0.04,0,0,0,0.04
"Dead Island","X360, PS3, PC",2011,"Action","Deep Silver",2.68,1.53,0.15,0.54,4.8999999999999995
"Dead Island Definitive Collection","PS4, XOne",2016,"Action","Deep Silver",0.04,0.09000000000000001,0.01,0.02,0.16
"Dead Island: Riptide","X360, PS3",2013,"Action","Deep Silver",0.7,0.47000000000000003,0.08,0.16,1.4100000000000001
"Dead Man's Hand","XB",2004,"Shooter","Atari",0.09,0.02,0,0,0.11
"Dead Rising","X360, PS4",2006,"Action","Capcom",1.17,0.65,0.08,0.2,2.11
"Dead Rising 2","X360, PS3, PC",2010,"Action","Capcom",1.28,1.12,0.24,0.35,3.02
"Dead Rising 2: Off the Record","PS3, X360, PC",2011,"Action","Capcom",0.32,0.18999999999999997,0.1,0.060000000000000005,0.6700000000000002
"Dead Rising 3","XOne",2013,"Action","Microsoft Game Studios",1.06,0.35,0.01,0.12,1.54
"Dead Rising: Chop Till You Drop","Wii1",2009,"Action","Capcom",0.15,0.07,0.05,0.02,0.29
"Dead Space","PS3, X360, PC",2008,"Action","Electronic Arts",1.94,1.6,0,0.49,4.03
"Dead Space 2","X360, PS3, PC",2011,"Shooter","Electronic Arts",1.7999999999999998,1.0999999999999999,0,0.38999999999999996,3.29
"Dead Space 3","PS3, X360",2013,"Action","Electronic Arts",1.08,0.66,0,0.25,1.99
"Dead Space Extraction","Wii1",2009,"Shooter","Electronic Arts",0.33,0.11,0.01,0.04,0.48
"Dead in the Water","PSX",1999,"Action","ASC Games",0.03,0.02,0,0,0.05
"Dead or Alive","PSX, SAT",1997,"Fighting","Sony Computer Entertainment",0.09,0.06,0.28,0.02,0.46
"Dead or Alive 2","PS2, DC",2000,"Fighting","Tecmo Koei",0.3,0.24,0.52,0.08,1.1400000000000001
"Dead or Alive 3","XB",2001,"Fighting","Microsoft Game Studios",1.19,0.29,0.24,0.06,1.77
"Dead or Alive 4","X360",2005,"Fighting","Tecmo Koei",0.3,0.03,0.1,0.03,0.47
"Dead or Alive 5","PS3, PS4, X360, PSV, XOne",2012,"Fighting","Tecmo Koei",0.55,0.44000000000000006,0.3500000000000001,0.16,1.4800000000000002
"Dead or Alive Paradise","PSP",2010,"Misc","Ubisoft Annecy",0.07,0.02,0.07,0.02,0.17
"Dead or Alive Ultimate","XB",2004,"Fighting","Tecmo Koei",0.3,0.1,0.08,0.02,0.5
"Dead or Alive Xtreme 2","X360",2006,"Sports","Tecmo Koei",0.15,0.03,0.06,0.02,0.26
"Dead or Alive Xtreme 3: Fortune","PS4",2016,"Sports","Tecmo Koei",0,0,0.05,0,0.05
"Dead or Alive Xtreme 3: Venus","PSV",2016,"Sports","Tecmo Koei",0,0,0.03,0,0.03
"Dead or Alive Xtreme Beach Volleyball","XB",2003,"Sports","Microsoft Game Studios",0.36,0.08,0.14,0.02,0.59
"Dead or Alive: Dimensions","3DS",2011,"Fighting","Ubisoft Annecy",0.13,0.21,0.07,0.03,0.45
"Dead to Rights","PS2, XB, GC, GBA",2002,"Shooter","Electronic Arts",1.3200000000000003,0.7200000000000001,0,0.2,2.24
"Dead to Rights II","PS2, XB",2005,"Shooter","Electronic Arts",0.18,0.1,0,0.03,0.31
"Dead to Rights: Reckoning","PSP",2005,"Shooter","Electronic Arts",0.12,0,0,0.01,0.13
"Dead to Rights: Retribution","PS3, X360",2010,"Shooter","Namco Bandai Games",0.21000000000000002,0.2,0.02,0.07,0.49
"Deadliest Catch: Alaskan Storm","X360",2008,"Sports","Navarre Corp",0.04,0,0,0,0.05
"Deadliest Catch: Sea of Chaos","Wii1, X360, PS3",2010,"Sports","Crave Entertainment",0.28,0,0,0.03,0.29
"Deadliest Warrior: Ancient Combat","X360, PS3",2012,"Fighting","Cloud Imperium Games Corporation",0.08,0,0,0,0.08
"Deadly Arts","N64",1998,"Fighting","Konami Digital Entertainment",0.03,0.01,0,0,0.04
"Deadly Creatures","Wii1",2009,"Action","THQ",0.08,0.12,0,0.03,0.23
"Deadly Duck","2600",1981,"Shooter","20th Century Fox Video Games",0.21,0.01,0,0,0.22
"Deadly Premonition","X360, PS3",2010,"Action","Rising Star Games",0.26,0.11,0,0.04,0.42000000000000004
"Deadpool","PS3, X360, PS4, XOne",2013,"Action","Activision",0.7,0.4600000000000001,0,0.18,1.33
"Deal or No Deal","NDS, Wii1, PC",2006,"Misc","Mindscape",2.37,0.42,0,0.24,3.03
"Deal or No Deal: Special Edition","NDS",2010,"Misc","Zoo Games",0.04,0,0,0,0.04
"Deal or No Deal: The Banker is Back!","NDS",2008,"Misc","Mindscape",0,0.2,0,0,0.2
"Death By Degrees","PS2",2005,"Action","Sony Computer Entertainment",0.05,0.04,0,0.01,0.1
"Death Connection Portable","PSP",2011,"Adventure","Idea Factory",0,0,0.01,0,0.01
"Death Jr.","PSP",2005,"Platform","Konami Digital Entertainment",0.17,0,0,0.01,0.19
"Death Jr. II: Root of Evil","PSP",2006,"Platform","Konami Digital Entertainment",0.05,0,0,0,0.06
"Death Jr. and the Science Fair of Doom","NDS",2007,"Platform","Konami Digital Entertainment",0.08,0,0,0.01,0.08
"Death Jr.: Root of Evil","Wii1",2008,"Platform","Eidos Interactive",0.1,0,0,0.01,0.11
"Death Trap","2600",1982,"Action","Avalon Interactive",0.15,0.01,0,0,0.17
"DeathSmiles","X360",2009,"Shooter","Rising Star Games",0.15,0.06,0.05,0.02,0.28
"DeathSmiles II","X360",2010,"Shooter","Cave",0,0,0.03,0,0.03
"Deathrow: Underground Team Combat","XB",2002,"Sports","Ubisoft",0.05,0.01,0,0,0.06
"Deathtrap Dungeon","PSX",1998,"Action","Eidos Interactive",0.19,0.13,0,0.02,0.33
"Deca Sports","Wii1",2008,"Sports","Konami Digital Entertainment",1.13,0.87,0.29,0.25,2.54
"Deca Sports 2","Wii1",2009,"Sports","Hudson Soft",0.33,0.34,0.09,0.07,0.82
"Deca Sports 3","Wii1",2010,"Sports","Hudson Soft",0.15,0.07,0,0.02,0.24
"Deca Sports DS","NDS",2009,"Sports","Hudson Soft",0.08,0.02,0,0.01,0.11
"Deca Sports Extreme","3DS",2011,"Sports","Hudson Soft",0.08,0,0.03,0.01,0.12
"Decathlete","SAT",1994,"Sports","Sega",0,0,0.3,0,0.3
"Deception III: Dark Delusion","PSX",1999,"Role-Playing","Tecmo Koei",0.02,0.01,0,0,0.04
"Deception IV: Blood Ties","PSV, PS3",2014,"Action","Tecmo Koei",0.05,0.05,0.13,0.03,0.26
"Deep Fear","SAT",1998,"Adventure","Sega",0,0,0.08,0,0.08
"Deep Labyrinth","NDS",2006,"Action","505 Games",0.06,0,0,0,0.07
"Deepak Chopra's Leela","Wii1, X360",2011,"Misc","THQ",0.18,0.060000000000000005,0,0.02,0.27
"Deer Drive","Wii1, NDS",2009,"Sports","Big Ben Interactive",1.08,0.04,0,0.07,1.2
"Deer Drive: Legends","3DS",2012,"Action","Maximum Family Games",0.03,0,0,0,0.03
"Deer Hunter","PS2",2003,"Sports","Atari",0.14,0.11,0,0.04,0.28
"Def Jam Fight For NY: The Takeover","PSP",2006,"Action","Electronic Arts",0.08,0,0,0.01,0.09
"Def Jam Icon","PS3, X360",2007,"Action","Electronic Arts",0.45999999999999996,0.2,0,0.11,0.78
"Def Jam Rapstar","Wii1, PS3, X360",2010,"Misc","Konami Digital Entertainment",0.81,0.1,0,0.07,0.97
"Def Jam Vendetta","PS2, GC",2003,"Fighting","Electronic Arts",1.14,0.79,0,0.26,2.19
"Def Jam: Fight for NY","PS2, GC",2004,"Fighting","Electronic Arts",1.03,0.7200000000000001,0,0.23,1.98
"DefCon 5","PSX",1995,"Shooter","Psygnosis",0.04,0.03,0,0,0.07
"Defender","2600, PS2, GC, XB",1980,"Misc","Atari",1.34,0.24,0,0.060000000000000005,1.6500000000000004
"Defender II","2600",1987,"Shooter","Atari",0.42,0.02,0,0,0.45
